ACC_X,ACC_Y,ACC_Z,PPG
32764,29236,40192,42055
32796,29784,39932,7327
32888,29456,39992,12988
32884,29584,40024,13710
32664,29308,40168,13722
32828,29376,40172,13727
32752,29488,40124,13723
32796,29444,40032,13692
32812,29600,40072,13645
32736,29848,40196,13615
32820,29492,39972,13595
32860,29592,40096,13567
32564,29788,40304,13540
32724,30020,40156,13518
32624,29468,40280,13500
32552,30120,40388,13480
32668,30096,40368,13468
32752,30008,40196,13464
33172,29076,39872,13458
32576,29688,40244,13458
32552,29956,40144,13462
32452,30072,40576,13462
32684,29804,40324,13449
32516,28912,40872,13440
32344,27400,40252,13457
32840,29568,39808,13485
33056,28996,39616,13494
34500,29500,39184,13492
33696,28648,40124,13502
33268,29768,39972,13509
33420,29352,40232,13514
33380,29876,40324,13515
33260,29296,40512,13517
33176,29052,40588,13515
33224,28844,40624,13515
33360,28704,40436,13512
33944,28660,40232,13499
34028,28748,40112,13495
34792,28644,39640,13489
35860,28472,39204,13482
36112,28456,39012,13465
35808,28784,38756,13453
36400,28160,39952,13445
35168,30452,37048,13440
37116,28668,39156,13438
37432,31012,37840,13450
37784,31608,37732,13313
39212,26720,36728,13102
37624,29148,38124,13124
34264,26412,40192,13142
36732,30268,37412,13095
38208,28980,36852,12903
37924,29452,36736,12775
39040,29324,36080,12683
38192,28960,36160,14393
38640,28948,35760,15348
38276,27524,35656,17520
38584,28388,35440,23719
38540,27720,35792,29863
38600,28148,35596,36008
38192,28192,35680,42152
38336,28044,35868,44340
38156,28764,35836,41558
37972,29372,36292,38912
38760,29284,36720,32768
38416,29376,37060,26624
37648,29796,38072,20480
38048,29860,38764,14988
37312,31732,39112,13902
37208,31508,39700,13297
37152,32328,39656,13201
36780,33232,39208,13181
36544,32744,40400,13179
36752,32944,39552,13206
36324,33588,40164,13233
36480,33920,40280,13276
36088,33400,40368,13329
35940,34060,40368,13374
36052,33780,40328,13407
36060,33832,40156,13447
35860,34204,40364,13469
35872,34436,40156,13471
36028,34140,40116,13468
35844,34392,40104,13460
35736,33200,40288,13453
35800,33348,40704,13426
35848,33628,40076,13363
35876,33792,40120,13305
36072,34328,39912,13261
35764,34464,39852,13233
35588,34348,40096,13219
35564,34680,40140,13206
35508,34024,40248,13205
35360,34236,40164,13211
35428,33960,40484,13217
35424,33984,40380,13228
35200,33668,40524,13235
35220,33540,40684,13249
35104,33452,40692,13265
35020,33328,40720,13282
35064,33328,40560,13296
35068,33300,40468,13314
35012,33140,40604,13335
35048,33132,40584,13353
34992,33020,40672,13364
34880,33068,40620,13362
34848,32912,40640,13346
34856,33156,40564,13338
34876,32904,40684,13338
34944,33096,40580,13337
34880,33028,40604,13341
35008,32992,40568,13349
34920,33204,40576,13361
34940,33032,40604,13370
34884,33036,40620,13397
34912,32996,40580,13409
34880,33072,40596,13429
34908,33104,40504,13444
34972,33124,40508,13468
35004,32896,40580,13487
34772,33088,40584,13505
34744,32912,40568,13527
34692,32940,40628,13552
34744,32876,40620,13570
34772,32536,40648,13577
34744,32576,40680,13563
34668,32716,40688,13563
34652,32772,40692,13572
34636,32844,40644,13578
34756,32788,40620,13590
34744,32708,40632,13603
34656,32716,40684,13616
