accX,accY,accZ
18,-214,21
19,-212,26
19,-213,25
19,-213,25
21,-213,24
21,-213,22
19,-213,22
19,-213,22
22,-214,23
20,-213,25
20,-214,29
19,-214,30
19,-213,24
19,-213,24
19,-213,24
21,-213,27
20,-213,31
20,-213,31
20,-213,24
21,-213,28
20,-211,23
21,-211,24
22,-213,22
22,-214,22
21,-213,21
21,-213,21
20,-214,20
20,-214,20
20,-214,20
18,-212,21
20,-213,22
20,-213,22
20,-214,25
20,-214,24
21,-213,25
20,-214,23
21,-213,24
21,-213,24
22,-214,24
22,-213,26
21,-213,25
20,-213,25
20,-213,25
19,-214,23
21,-212,24
21,-212,24
-11,-174,18
-7,-186,-2
-31,-143,-34
-24,-153,-25
-76,56,98
-124,184,169
-285,591,287
-273,623,290
-273,623,290
-246,601,183
-179,450,138
-123,356,103
-1,293,135
-15,289,161
81,313,184
81,313,184
-9,510,316
-9,510,316
-9,510,316
-1,664,333
0,717,376
30,739,436
30,739,436
72,856,524
109,848,537
109,848,537
141,865,513
153,835,512
163,845,455
145,819,438
120,774,411
120,774,411
93,761,395
64,775,387
29,765,383
29,765,383
-56,720,303
-77,663,271
-68,624,263
-85,567,213
-101,558,206
-117,567,192
-133,567,186
-147,578,173
-147,578,173
-123,654,209
-37,693,292
-37,693,292
68,767,555
200,690,852
299,697,1092
347,630,1237
378,566,1353
399,523,1508
399,523,1508
339,715,1530
237,773,1449
237,773,1449
65,778,1262
-85,789,1099
-248,691,1047
-404,517,1031
-580,411,1064
-704,305,1098
-704,305,1098
-882,279,1223
-1018,307,1242
-1109,376,1238
-927,627,1043
211,984,1052
335,1070,1092
446,1097,1122
522,1067,1143
522,1067,1143
597,1004,1145
651,944,1118
667,865,1066
682,776,1026
682,776,1026
660,565,971
605,503,950
493,415,891
296,382,803
83,323,714
-105,298,717
-105,298,717
-607,178,684
-607,178,684
-607,178,684
-1120,26,601
-1374,-46,512
-1569,-136,452
-1658,-192,390
-1597,-151,385
-1432,-94,436
-1432,-94,436
-893,45,708
-660,147,831
-660,147,831
-206,327,1096
-206,327,1096
-59,458,1191
38,602,1250
111,812,1287
123,1024,1259
123,1024,1259
-92,1253,1070
-162,1325,1005
-194,1329,944
-219,1303,835
-219,1303,835
-254,1014,624
-260,719,513
-201,420,523
-201,420,523
-88,146,574
37,-114,638
37,-114,638
223,-475,770
223,-475,770
347,-590,664
424,-464,545
523,-351,480
614,-229,457
614,-229,457
681,146,647
681,146,647
-392,310,1769
-374,432,1757
-369,513,1680
-369,513,1680
-413,614,1590
-494,715,1495
-494,715,1495
-627,672,1230
-734,632,1083
-734,632,1083
-753,413,802
-741,276,647
-741,276,647
-63,-227,288
350,-363,92
350,-295,159
602,251,374
592,358,470
381,727,977
291,775,1110
216,774,1224
129,751,1328
129,751,1328
-38,667,1491
-104,619,1583
-104,619,1583
-275,478,1758
-275,478,1758
-353,446,1817
-373,466,1845
-364,544,1820
-326,682,1715
-326,682,1715
-191,751,1400
-174,735,1180
-174,735,1180
-184,525,762
-225,391,599
-272,213,484
-346,27,370
-428,-145,296
-428,-145,296
-428,-145,296
-516,-264,206
-542,-189,157
-522,-130,152
-452,54,212
-414,193,248
-382,372,315
-356,482,357
-340,578,362
-302,643,414
-263,681,447
-279,674,444
-279,674,444
-360,665,354
-393,630,307
-425,592,291
-431,576,311
-434,592,317
-431,606,340
-364,708,432
-256,821,543
-142,850,644
-142,850,644
-104,913,640
-132,863,556
-189,782,449
-189,782,449
-189,782,449
-342,498,323
-403,432,278
-442,407,258
-468,378,242
-468,378,242
-540,327,216
-550,298,216
-542,271,205
-475,231,137
-788,-365,489
-788,-365,489
-834,-459,646
-811,-516,722
-754,-587,813
-754,-587,813
-621,-923,1121
-326,233,459
-326,233,459
-326,233,459
-139,355,283
-298,399,124
-250,381,158
-244,390,172
-285,398,188
-285,398,188
-394,425,186
-201,528,273
-12,578,358
616,839,787
616,839,787
649,839,922
464,856,896
166,802,832
-148,660,782
-542,431,696
-966,152,601
-966,152,601
-1437,-222,582
-1437,-222,582
-1437,-222,582
-1134,-32,652
-869,276,601
-617,563,540
-340,797,483
111,1098,401
