,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
sub01_100c.csv,1,0.754094181,0.796460502,0.856637344,0.672300322
sub02_100c.csv,0.754094181,1,0.870666995,0.845923676,0.89889257
sub03_100c.csv,0.796460502,0.870666995,1,0.867498126,0.903222728
sub04_100c.csv,0.856637344,0.845923676,0.867498126,1,0.822457811
sub05_100c.csv,0.672300322,0.89889257,0.903222728,0.822457811,1
sub01_120c.csv,0.332079416,0.400460908,0.436872965,0.374024149,0.360191683
sub02_120c.csv,0.314479823,0.414290562,0.43064414,0.344112533,0.443359999
sub03_120c.csv,0.24716329,0.392973905,0.453871075,0.384982221,0.478529935
sub04_120c.csv,0.337388421,0.46322251,0.499239453,0.357781387,0.45930334
sub05_120c.csv,0.266579827,0.441337654,0.418695463,0.323083223,0.520024584
sub01_60c_1.csv,0.369201457,0.33108578,0.409072132,0.305920891,0.293486754
sub01_60c_2.csv,0.235823998,0.318476311,0.375916193,0.239537092,0.283313804
sub02_60c.csv,0.342252889,0.286107863,0.252427918,0.248809084,0.183058801
random100s_1.csv,0.020710477,0.053798556,0.043163193,0.025489259,0.073516168
random100s_2.csv,0.028624788,0.045858204,0.044955016,0.043388741,0.069404643
stationary100s.csv,0.006737673,0.00440977,0.004651922,0.003728797,0.003288236
