,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
sub01_100c.csv,1,0.922115248,0.9556279,0.922783608,0.970308383
sub02_100c.csv,0.922115248,1,0.927575265,0.815521184,0.939072743
sub03_100c.csv,0.9556279,0.927575265,1,0.878794289,0.944582682
sub04_100c.csv,0.922783608,0.815521184,0.878794289,1,0.838881929
sub05_100c.csv,0.970308383,0.939072743,0.944582682,0.838881929,1
sub01_120c.csv,0.328712297,0.338644549,0.214508205,0.275191261,0.227147209
sub02_120c.csv,0.287678757,0.378546698,0.263226616,0.346619905,0.246237639
sub03_120c.csv,0.247809379,0.251308658,0.219205465,0.308288586,0.245625695
sub04_120c.csv,0.340572329,0.208609661,0.337239387,0.389141836,0.330499559
sub05_120c.csv,0.390401168,0.350441974,0.394874736,0.279070743,0.408814775
sub01_60c_1.csv,0.394912023,0.254246388,0.323862691,0.377695228,0.434993035
sub01_60c_2.csv,0,0,0,0,0
sub02_60c.csv,0,0,0,0,0
random100s_1.csv,0,0,0,0,0
random100s_2.csv,0,0,0,0,0
stationary100s.csv,0,0,0,0,0
