,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
sub01_100c.csv,1,0.844099313,0.846237507,0.930828534,0.86153847
sub02_100c.csv,0.844099313,1,0.712951119,0.839717322,0.82244767
sub03_100c.csv,0.846237507,0.712951119,1,0.891673882,0.744522409
sub04_100c.csv,0.930828534,0.839717322,0.891673882,1,0.882660224
sub05_100c.csv,0.86153847,0.82244767,0.744522409,0.882660224,1
sub01_120c.csv,0.034006164,0.086678434,0.038786419,0.038673999,0.077610334
sub02_120c.csv,0.025464489,0.113079656,0.039375337,0.04320288,0.045514129
sub03_120c.csv,0.028312852,0.075151785,0.039972501,0.054776398,0.129750283
sub04_120c.csv,0.024650188,0.086022842,0.087790598,0.035996458,0.02304029
sub05_120c.csv,0.030561909,0.112522331,0.067318853,0.031186218,0.06311702
sub01_60c_1.csv,0.038071859,0.021617605,0.072039508,0.050746379,0.076008235
sub01_60c_2.csv,0.043750655,0.115413331,0.077222492,0.052854868,0.045854195
sub02_60c.csv,0.024203958,0.16091844,0.086959909,0.101305934,0.04440429
random100s_1.csv,0.088860952,0.16015652,0.07613961,0.089533356,0.027126589
random100s_2.csv,0.165602827,0.158783373,0.164840508,0.141073081,0.096794952
stationary100s.csv,0.171533853,0.122090627,0.243602608,0.169410263,0.076257588
