,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
sub01_100c.csv,1,0.856108879,0.862139351,0.906089201,0.901318328
sub02_100c.csv,0.856108879,1,0.787465161,0.84526057,0.826597316
sub03_100c.csv,0.862139351,0.787465161,1,0.897958988,0.800998856
sub04_100c.csv,0.906089201,0.84526057,0.897958988,1,0.831295662
sub05_100c.csv,0.901318328,0.826597316,0.800998856,0.831295662,1
sub01_120c.csv,0.044400343,0.072206523,0.018767646,0.025697989,0.020965771
sub02_120c.csv,0.030212128,0.080960537,0.026970464,0.046293461,0.022764438
sub03_120c.csv,0.043457135,0.083823735,0.040993286,0.040556007,0.050907963
sub04_120c.csv,0.053824267,0.022890087,0.062713901,0.058573915,0.057508798
sub05_120c.csv,0.068224836,0.077193296,0.080973568,0.026602458,0.083361995
sub01_60c_1.csv,0.067946994,0.03469721,0.048049855,0.055152717,0.094955936
sub01_60c_2.csv,0,0,0,0,0
sub02_60c.csv,0,0,0,0,0
random100s_1.csv,0,0,0,0,0
random100s_2.csv,0,0,0,0,0
stationary100s.csv,0,0,0,0,0
